,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.8398126583574336,0.8396545105566219,0.8275406917459366,0.8273741261485716
1,3.0,0.8451360274358253,0.8444145873320538,0.834186157799623,0.8333947539079394
2,5.0,0.8471578839607914,0.8462188099808061,0.8378183430073589,0.8369971950809831
3,7.0,0.8507665139610473,0.848637236084453,0.8419759397892996,0.8397744572651472
4,11.0,0.8551941238195173,0.8527447216890595,0.8488701347888551,0.8463461645040602
5,13.0,0.8595449543162798,0.8553550863723608,0.8534039063829553,0.849024966860998
6,15.0,0.8606198653801858,0.8568138195777352,0.8546238156399928,0.8507251423625345
7,17.0,0.8614388452383999,0.8575047984644913,0.8555680903461363,0.8515114187728966
8,20.0,0.8646379853095488,0.8593857965451056,0.8590340443003529,0.8536171698469853
9,25.0,0.866941366160776,0.8614587332053742,0.8615117776628718,0.8557539510376857
10,30.0,0.8682210221892356,0.8624568138195777,0.8633383297403177,0.8572821252054538
11,40.0,0.8715993141043687,0.8639923224568138,0.8670385210474925,0.8590172456030346
12,50.0,0.8765643794947918,0.8672936660268714,0.8721151616134706,0.862429496808897
