,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.7744222353031505,0.7800383877159309,0.6976123686803489,0.7051242025397993
1,3.0,0.8073605814756993,0.8100191938579655,0.7803809734738434,0.783243254961161
2,5.0,0.8232795024697361,0.8246065259117082,0.796844623554206,0.7976827193209313
3,7.0,0.8341821718322115,0.8354318618042227,0.8140932550602561,0.8148952700620202
4,11.0,0.8417065492795537,0.8414971209213051,0.8289031853204888,0.8281369330620099
5,13.0,0.845903821052901,0.8474088291746641,0.8339661001551827,0.8354910439861554
6,20.0,0.8513807488547078,0.8509404990403071,0.8418408465341412,0.8410956868542555
7,30.0,0.8568576766565147,0.855700575815739,0.8482748713174092,0.846704036297582
8,50.0,0.86238579069946,0.8606909788867563,0.8542872648447604,0.8521629133755023
9,70.0,0.8661735725437002,0.8637619961612284,0.8586797667118371,0.8557732027611084
10,90.0,0.868553732756635,0.8656429942418427,0.8612610268215638,0.8578502926080275
11,120.0,0.8734420187853505,0.8695201535508638,0.8671121511725554,0.8624511104909064
12,150.0,0.8765643794947918,0.8718234165067178,0.8707560350490358,0.8654670449612217
13,200.0,0.8802497888567553,0.8741266794625719,0.875077193591335,0.868227213716311
