,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.8403501138893865,0.8410748560460652,0.8277900243663223,0.8285791157220298
1,3.0,0.8465436490671308,0.8468330134357006,0.8355793847746806,0.8359213775744792
2,5.0,0.8503826171525094,0.849443378119002,0.8418862817742552,0.8409657005990454
3,7.0,0.8525580324008907,0.8507869481765835,0.8443418723927059,0.8424162888846346
4,11.0,0.8590586850254651,0.8543186180422265,0.8531046563381417,0.8482080424964097
5,13.0,0.8624369769405984,0.8570057581573897,0.8569926857090694,0.851324570869259
6,15.0,0.8645867990684104,0.8583877159309021,0.8595889947300709,0.8531760659745907
7,17.0,0.8660712000614235,0.8603071017274472,0.8609535226631636,0.8550306401448599
8,20.0,0.8678627185012668,0.8606909788867563,0.8629094233230087,0.8555640941777689
9,25.0,0.8715737209837996,0.8630326295585413,0.8671430549977255,0.858219743522697
10,30.0,0.8730837150973818,0.8646833013435701,0.8687800087680431,0.8600127874051016
11,40.0,0.8765387863742226,0.8673320537428023,0.8725689220486041,0.863008594137581
12,50.0,0.8788165741048806,0.8686756238003839,0.8750518923532318,0.8645329882598739
