,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.8283981265835744,0.8284452975047985,0.8147646566829306,0.8146689143192194
1,3.0,0.834514882399611,0.8355470249520154,0.8223743427604933,0.8233451715882202
2,5.0,0.8438819645279348,0.8458349328214971,0.8343947297051114,0.8366035481768013
3,7.0,0.8492821129680342,0.8499424184261036,0.8413536020292846,0.8421346554675632
4,11.0,0.854349550840734,0.853320537428023,0.84791158449929,0.8468956705422032
5,13.0,0.8548358201315487,0.8537428023032629,0.8488080755844309,0.8477594427766413
6,20.0,0.8614900314795383,0.8578886756238003,0.8568225164265995,0.8531751883271729
7,30.0,0.8677859391395593,0.8626487523992322,0.8632683102678608,0.8578828654499434
8,50.0,0.8746448954521024,0.869021113243762,0.8703675437043867,0.8643608003668057
9,70.0,0.8802497888567553,0.8718234165067178,0.8763518413592034,0.8674555541296585
10,90.0,0.8833977426867659,0.8734740882917467,0.8797079743289237,0.8694328527207743
11,120.0,0.8848821436797789,0.8733973128598849,0.8815667283348047,0.8695347767061745
12,150.0,0.8868784070841758,0.8748560460652591,0.8839205356231566,0.8713820575345848
13,200.0,0.8936605840350114,0.8765834932821497,0.8910237088818017,0.8732990157301057
