,l2,dropout,method,accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,1e-05,0.1,Adam,0.8745681047439575,0.8674471974372864,0.8709128932171559,0.8631227226188904
1,1e-05,0.4,Adam,0.879277229309082,0.871900200843811,0.876085655025247,0.8685176615049284
2,1e-05,0.7000000000000001,Adam,0.8827323317527771,0.8714779019355774,0.8814554817554298,0.8699142620444816
3,0.0001,0.1,Adam,0.8795843720436096,0.8699808120727539,0.8776350916029786,0.867543277594893
4,0.0001,0.4,Adam,0.8852404356002808,0.8743953704833984,0.8823009312075705,0.8710309325784032
5,0.0001,0.7000000000000001,Adam,0.8763596415519714,0.8690595030784607,0.8742405522876956,0.8667578230600034
6,0.001,0.1,Adam,0.878688633441925,0.8714779019355774,0.8750398925852533,0.8674467150598097
7,0.001,0.4,Adam,0.8763852119445801,0.8706334233283997,0.8737367662079846,0.8677675974239991
8,0.001,0.7000000000000001,Adam,0.8742865920066833,0.8680230379104614,0.8711277018219843,0.8646154999324366
