,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.8440099301307808,0.8437236084452975,0.833538720220083,0.8331084288951718
1,3.0,0.8497683822588489,0.850595009596929,0.8397838741763218,0.8405338080616227
2,5.0,0.8557571724720395,0.8556621880998081,0.8474474903661631,0.8472537753267874
3,7.0,0.8588539400609116,0.8562380038387716,0.8521904265674749,0.8496366772686538
4,11.0,0.8633327361605201,0.8585796545105566,0.8570104579056858,0.8521025869173872
5,13.0,0.864535612827272,0.859232245681382,0.8580914480801287,0.852645876448535
6,15.0,0.8672996698487446,0.8609213051823417,0.8612794079388337,0.8545569683498709
7,17.0,0.8703708443170476,0.8616890595009596,0.8649140713852657,0.855845035971346
8,20.0,0.8739794743173035,0.8639539347408829,0.8689580257475552,0.8583571043981353
9,25.0,0.8772553937501599,0.8670249520153551,0.8725918642555106,0.861696412949689
10,30.0,0.8805057200624472,0.8684452975047985,0.8763577582975688,0.863584218867872
11,40.0,0.8850868886443324,0.8708637236084453,0.8812415367499362,0.8663639463643509
12,50.0,0.8862897653110844,0.8710556621880998,0.8826994146620526,0.8667086273003785
