,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.7568653545926854,0.7626871401151631,0.6521218754587154,0.6600055795029427
1,3.0,0.7568653545926854,0.7626871401151631,0.6521218754587154,0.6600055795029427
2,5.0,0.7568653545926854,0.7626871401151631,0.6521218754587154,0.6600055795029427
3,7.0,0.7568653545926854,0.7626871401151631,0.6521218754587154,0.6600055795029427
4,11.0,0.7595526322524505,0.7648752399232246,0.6584366821105043,0.6651621095803246
5,13.0,0.7625982136001843,0.7679078694817658,0.665458388760632,0.6721828899328623
6,20.0,0.7847874491336728,0.7899808061420346,0.718147255017283,0.7248113488389567
7,30.0,0.816036649348655,0.8194241842610365,0.7856196433907657,0.7891758227601584
8,50.0,0.8331072607683054,0.8332053742802303,0.8163781684576007,0.8159849338830132
9,70.0,0.8405292657333708,0.841573896353167,0.826500889770308,0.8273839783121478
10,90.0,0.8442402682159036,0.8442226487523993,0.8311647064663054,0.8309002675668775
11,120.0,0.8487446574360812,0.8489059500959693,0.8377841904365069,0.8376812074170075
12,150.0,0.8527627773654441,0.8524760076775432,0.8428448945689698,0.8422822213379723
13,200.0,0.8563714073657,0.8558157389635317,0.8470408791230122,0.8462736561598956
