,l2,dropout,method,accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,1e-05,0.1,SGD,0.8784326910972595,0.8708637356758118,0.8752485564523323,0.8674404304972321
1,1e-05,0.4,SGD,0.8768458962440491,0.8680230379104614,0.8730965585569748,0.8637220910431144
2,1e-05,0.7000000000000001,SGD,0.8784326910972595,0.8704030513763428,0.8754315868310141,0.8669854868982688
3,0.0001,0.1,SGD,0.8785862326622009,0.8704798221588135,0.8762742197282444,0.8679626829194252
4,0.0001,0.4,SGD,0.8751567602157593,0.8687140345573425,0.8714475179156512,0.8645678794017934
5,0.0001,0.7000000000000001,SGD,0.8773321509361267,0.8679846525192261,0.8765906967964388,0.866952559171515
6,0.001,0.1,SGD,0.8830394148826599,0.8724759817123413,0.8808023592763302,0.8697021987914132
7,0.001,0.4,SGD,0.8827323317527771,0.8743185997009277,0.8799659283273344,0.8711081983071254
8,0.001,0.7000000000000001,SGD,0.8797891139984131,0.8715162873268127,0.8772882569187062,0.8686485453724305
