,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.7384676775738228,0.6162776780371034,0.733334453239032,0.6044933162506366
1,3.0,0.7482841181165204,0.6187911430281268,0.7436141792951737,0.6069577063783888
2,5.0,0.7698723064644851,0.6220227408737283,0.7663118644449032,0.6101310278846261
3,7.0,0.7869912210694333,0.623339317773788,0.7841616464684185,0.6123503162129471
4,11.0,0.813367916999202,0.6224416517055655,0.8116750842605841,0.6125934403773161
5,13.0,0.8231444533120511,0.6228605625374027,0.8217809626114368,0.613309304321316
6,15.0,0.8333200319233839,0.6247755834829443,0.8322613472624543,0.6153475443985293
7,17.0,0.8425379090183558,0.6243566726511072,0.841622395625602,0.6150804891628294
8,20.0,0.8563447725458898,0.6230400957510474,0.8556347667085269,0.613959117404944
9,25.0,0.8800877893056664,0.6203470975463794,0.8797023445865438,0.6119282575488594
10,30.0,0.8993615323224262,0.6184919210053861,0.8991673330677734,0.6103477487063694
11,40.0,0.9344772545889863,0.6166367444643925,0.9344417416187432,0.6093678336253829
12,50.0,0.9599361532322426,0.6147217235188511,0.9599300642889806,0.6081399807456538
