,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.6927773343974462,0.6206463195691203,0.6829446458579762,0.6052601243292756
1,3.0,0.6980446927374302,0.6236385397965291,0.6888927230694675,0.6086863911425351
2,5.0,0.7146847565841979,0.6293237582286058,0.7076127354427302,0.6156716261078569
3,7.0,0.7304868316041502,0.6281867145421902,0.7248336594626414,0.6156455610002324
4,11.0,0.7511572226656027,0.6305804907241173,0.7469152694073145,0.6193613253386604
5,13.0,0.7593375897845172,0.6308797127468582,0.7554264979753175,0.6203533804618655
6,15.0,0.7678770949720669,0.6290245362058647,0.7644873577911848,0.6191517299853266
7,17.0,0.7743814844373503,0.6295032914422501,0.7713752357640475,0.6200285202253196
8,20.0,0.7853551476456505,0.6288450029922201,0.7827551252150502,0.6199652398752142
9,25.0,0.8032322426177174,0.627767803710353,0.801135425157032,0.619552043892212
10,30.0,0.8190343176376695,0.6261520047875522,0.8175065973217693,0.6184706019642638
11,40.0,0.844413407821229,0.6238779174147218,0.843449664046493,0.616691166264473
12,50.0,0.8719473264166002,0.6210652304009575,0.8714679231617268,0.6141538988864107
