,l2,dropout,method,accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,1e-05,0.1,Adam,0.6019553244113922,0.5831837356090546,0.4867609959568177,0.45822356961787303
1,1e-05,0.4,Adam,0.6065442860126495,0.5879712700843811,0.5058405550406258,0.48410090049512383
2,1e-05,0.7000000000000001,Adam,0.5841979384422302,0.5706163942813873,0.4310587816407999,0.40716711155246627
3,0.0001,0.1,Adam,0.5985634624958038,0.584081381559372,0.4701718492932764,0.44660674704595915
4,0.0001,0.4,Adam,0.5881883502006531,0.5580490827560425,0.4830962982807213,0.444405462178292
5,0.0001,0.7000000000000001,Adam,0.6057462096214294,0.5897665917873383,0.5233916359099096,0.5001765274504956
6,0.001,0.1,Adam,0.6043495535850525,0.5846798419952393,0.5025636110359408,0.48061335363132274
7,0.001,0.4,Adam,0.5993615388870239,0.5783961713314056,0.42740936635179705,0.4000237492205334
8,0.001,0.7000000000000001,Adam,0.597964882850647,0.5798922777175903,0.4567682512329152,0.43200179257869803
