,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.7253790901835595,0.620586475164572,0.7191641245402391,0.6077096406850521
1,3.0,0.7354349561053473,0.62262118491921,0.729917993092535,0.6094076816946371
2,5.0,0.7538707102952914,0.6237582286056254,0.7493564477898204,0.6114749557306112
3,7.0,0.7706304868316041,0.6235786953919809,0.7672287246656083,0.6123199205126457
4,11.0,0.7948922585794094,0.6232196289646917,0.7925246412514548,0.6130744984119809
5,13.0,0.8040702314445332,0.6241172950329144,0.8021312494190334,0.6145477795038564
6,15.0,0.8124501197126894,0.6238779174147218,0.8109035019748154,0.6146358192084551
7,17.0,0.8218675179569035,0.6235188509874328,0.8206127245068735,0.6147395971056382
8,20.0,0.8329608938547487,0.6238180730101737,0.8318981833198787,0.615425518056853
9,25.0,0.852952913008779,0.6217235188509873,0.8522709876870762,0.6136528318779256
10,30.0,0.8716679968076615,0.6228605625374029,0.8712411904045398,0.6150771809169819
11,40.0,0.9050678371907424,0.6200478755236387,0.904969145010414,0.6130168285026485
12,50.0,0.933998403830806,0.6165170556552962,0.9339928615831402,0.609897140267341
