,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.6875099760574621,0.6206463195691203,0.6760574246411966,0.6040182146123722
1,3.0,0.6953711093375897,0.6247755834829445,0.6851859775860215,0.6094474550284457
2,5.0,0.7102154828411812,0.6281867145421903,0.7019850132118305,0.6141650449907636
3,7.0,0.7243016759776537,0.6302214242968283,0.7178414000128792,0.6174125687317676
4,11.0,0.744732641660016,0.6304009575104728,0.7400058594609551,0.6191570548808181
5,13.0,0.753631284916201,0.6315380011968881,0.7496019730045801,0.6209967745206926
6,15.0,0.761731843575419,0.6311789347695991,0.758303640881476,0.6214037397381305
7,17.0,0.7681165203511571,0.6307600239377619,0.7649374838128888,0.6214175867748273
8,20.0,0.7790502793296089,0.6299222022740872,0.7762560400076787,0.6210965952534832
9,25.0,0.7946528332003192,0.626690604428486,0.7923515830279262,0.6183260597194236
10,30.0,0.8093375897845171,0.6277678037103531,0.807353508632789,0.6201429725005793
11,40.0,0.8373503591380687,0.6239377618192699,0.8362222610941178,0.6171734905396394
12,50.0,0.8637270550678373,0.6245960502692999,0.8630871344954116,0.6181706038053938
