,model_name,accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,nn_Adam_l2_0_dropout_0,0.6067438125610352,0.5987432599067688,0.5140958582743753,0.4922653093457812
1,nn_Adam_l2_0_dropout_0.0,0.6061452627182007,0.5921603739261627,0.49962271207472303,0.4765283712677132
2,nn_Adam_l2_3.1622776601683795e-05_dropout_0,0.6069433391094208,0.5915619432926178,0.5057498719655524,0.4850566478305316
3,nn_Adam_l2_0.0001_dropout_0.7000000000000001,0.6057462096214294,0.5897665917873383,0.5233916359099096,0.5001765274504956
4,nn_SGD_l2_0_dropout_0,0.6069433391094208,0.5876720547676086,0.4629519085548057,0.4392750711154344
5,nn_SGD_l2_0_dropout_0.4,0.6035514771938324,0.590664267539978,0.5146059737833633,0.49222230096389963
6,nn_SGD_l2_0.00031622776601683794_dropout_0,0.6139265894889832,0.5921603739261627,0.5192428423213884,0.4948819141104334
7,nn_SGD_l2_0.001_dropout_0.7000000000000001,0.607342392206192,0.5891681611537933,0.5127649523757224,0.4909953513325582
