,RMSE,R-squared,MAE
0,2.1429996544158443,0.5603189468383789,1.5209732628401431
1,2.1261218922775016,0.567751407623291,1.5206496650851067
2,2.1680500039853983,0.5217756032943726,1.5958013892268905
3,2.183272185449585,0.5580354928970337,1.5747196955007263
4,2.132679375151262,0.5769106149673462,1.503951129966608
5,2.113798145422708,0.5665731430053711,1.5096923308855805
6,2.161400780565056,0.5442313551902771,1.5158951467071071
7,2.123055355578789,0.5533910989761353,1.5291636935825454
8,2.1278960156976874,0.5596799254417419,1.5060821945726253
9,2.0727573748770256,0.5803742408752441,1.5162801870991494
10,2.173383470136371,0.54313063621521,1.550443741576917
11,2.1701407316580728,0.5373830795288086,1.5490339310380428
12,2.19010676589657,0.5434999465942383,1.6127353345310793
13,2.129049709441037,0.570166826248169,1.5184450407363088
14,2.104234968046275,0.5592027902603149,1.5419391805613794
15,2.2607018518354844,0.5182397365570068,1.5721376520675938
16,2.0886615423476025,0.5789406299591064,1.4714670301149677
17,2.185806220641577,0.5417965650558472,1.525317518214464
18,2.0761048665805233,0.5765652656555176,1.4630446963945771
19,2.116577308056465,0.5647420287132263,1.483513313584202
20,2.0637776586008227,0.5797122120857239,1.4813190187726701
21,2.2116653068165513,0.5123412013053894,1.6357274502634718
22,2.164970908489643,0.565172553062439,1.52991568918525
23,2.09700668954868,0.5820869207382202,1.4924029058584287
24,2.0735946105441068,0.5802469253540039,1.47623174131535
25,2.329977840794401,0.5034942626953125,1.5789252849740214
26,2.05942205044986,0.5779719352722168,1.4745797123418078
27,2.1149692549972037,0.5684865713119507,1.4924870764647877
28,2.171344055590611,0.5476154685020447,1.5214759256967239
29,2.214236681717121,0.5362358093261719,1.5380189348389792
Mean,2.1449254425203277,0.5558691064516703,1.5267456624665836
Std,0.05935343888597049,0.02148154042194243,0.04197729707555544
