,RMSE,R-squared,MAE
0,2.129870444106416,0.5656899213790894,1.5278999478171944
1,2.180937276534344,0.5451757907867432,1.5225352315263376
2,2.10069901167401,0.551026463508606,1.5462954436315124
3,2.1907227297957146,0.55501389503479,1.5015787039389157
4,2.1309913298362297,0.5775800943374634,1.5051481969244274
5,2.091582328473315,0.5756358504295349,1.4982258897729617
6,2.211067697673389,0.5230444669723511,1.5505068372557473
7,2.1618936576539896,0.5369014143943787,1.561731038432262
8,2.1555294055717766,0.5481694936752319,1.5306871669918465
9,2.1328961027540645,0.5556710362434387,1.5149521556551324
10,2.1450028371674037,0.5549845695495605,1.5463625686414129
11,2.177598899598863,0.5341978073120117,1.5602853615951842
12,2.210081557612939,0.5351349711418152,1.58302386351233
13,2.218425379487308,0.5333212614059448,1.5572458148858876
14,2.150763910937252,0.5394933819770813,1.5600427097067868
15,2.147217792471741,0.5653930902481079,1.504830687595955
16,2.1748380105366345,0.5434787273406982,1.5724629461527442
17,2.1572554973920988,0.5536884069442749,1.5014864426085404
18,2.125644795199844,0.5561161041259766,1.548563540505107
19,2.120034258705391,0.5633190870285034,1.513350839721424
20,2.187228746250794,0.5279267430305481,1.5974960315731745
21,2.224763988570852,0.5065476894378662,1.6488117796843849
22,2.194827292761743,0.5530967116355896,1.54091021097477
23,2.1906625998629266,0.5439239144325256,1.570518808182201
24,2.1668275860300774,0.541652500629425,1.5054855529346756
25,2.215051258281104,0.5512667894363403,1.5553675214956972
26,2.106948755886794,0.5582681894302368,1.5679790396169007
27,2.1705094867400145,0.5455254316329956,1.582129992205718
28,2.2383225845207684,0.519275963306427,1.6263598571847366
29,2.1910147435281235,0.5459122657775879,1.5096536744430553
Mean,2.1666403321871974,0.5468810677528382,1.5470642618389008
Std,0.037978092905263335,0.015587938124306358,0.036845818724545794
