,RMSE,R-squared,MAE
0,2.1774669866841694,0.5460618666395576,1.5748890163607343
1,2.1733855391335912,0.5483200798849228,1.5662989698466094
2,2.124051027054081,0.5409891168638683,1.5516181375273475
3,2.199078134301795,0.5516130818828251,1.5670242249963275
4,2.189953446848022,0.5538809280165083,1.586492418196329
5,2.1437297817100305,0.5542115108211736,1.545919480746209
6,2.216554113493831,0.5206745108509836,1.5819424007382283
7,2.165656580299745,0.5352879382365845,1.5449234337589786
8,2.1666482825631608,0.5434960661623792,1.55941866842116
9,2.1528780738516184,0.5473067158234495,1.558172105696329
10,2.173575215461092,0.5430500661502885,1.5662440095686139
11,2.1912271018882197,0.5283492829817298,1.5806421831655602
12,2.2501332482976477,0.5181334882674831,1.6119750099760575
13,2.2397035261337734,0.524326011210846,1.599660814046289
14,2.136779990967363,0.5454621952386893,1.542036612130886
15,2.1811060349273013,0.5515664966928939,1.570312235118421
16,2.157928931752466,0.5505499163583765,1.5493097815243415
17,2.193154630774542,0.5387105194093413,1.5661165896169864
18,2.1372666870186574,0.5512490525227981,1.555452739288725
19,2.15056721643048,0.5506503051508742,1.5435472196289168
20,2.1388363447950947,0.548584888857854,1.548458699122107
21,2.188899538107595,0.5223289596831917,1.5789560447210464
22,2.196244358792057,0.5525194669614801,1.594115528980447
23,2.17375455187173,0.5509369541136064,1.5789386721867518
24,2.135693549147456,0.5547294251281769,1.5643346679326346
25,2.2264082763484434,0.5466534623480885,1.6019962081828005
26,2.1697234004379986,0.5315541190117873,1.584920131613648
27,2.164021521695483,0.5482383237954416,1.5622131883479649
28,2.2257913802586944,0.5246435357047015,1.6017402321996024
29,2.2135785647197124,0.5365114493733396,1.5828886289444664
Mean,2.1784598678588614,0.5420196578047747,1.5706852684194843
Std,0.03214269759092007,0.011062744004637325,0.019034547939460127
