,RMSE,R-squared,MAE
0,2.129741462930379,0.5657425467470281,1.5423931160660869
1,2.1129587318271312,0.5730871102257737,1.521323091641336
2,2.068612828811102,0.5646369984937396,1.5074398057469813
3,2.1609502489899404,0.5670266663906149,1.5319130062266013
4,2.1492126809235494,0.5703252696790577,1.5424263651877477
5,2.0961505770687787,0.5737801014106534,1.5075056074555953
6,2.147373318436112,0.5501280112800566,1.526711455391239
7,2.110459332189047,0.5586747845418638,1.5015347924901574
8,2.1156834711693433,0.5647196353311237,1.5226033232406522
9,2.0898827104689133,0.5734116326487174,1.5090417956647335
10,2.111920496229936,0.5686057002498697,1.5193955630307927
11,2.1429678737982365,0.5488956259294387,1.5365906126212805
12,2.193628665378323,0.542030562210569,1.5670317171042747
13,2.167713710320204,0.554413335313384,1.5598375910589442
14,2.0843730090670696,0.5674848990088048,1.5031498671520476
15,2.0948799419233017,0.5863216712221182,1.5145477540440864
16,2.1243185919816283,0.5644415032528677,1.5115044855191195
17,2.138137282353213,0.5615639895885456,1.527365943019254
18,2.088131998351872,0.5716449982096959,1.5094742811943214
19,2.088117488062774,0.5763684758978427,1.504397044637492
20,2.0975674040789833,0.5658369761764557,1.516051586194257
21,2.1202712881468138,0.551812110111801,1.5241080703472327
22,2.154824655523894,0.5692386781627401,1.5549040058006989
23,2.101412392953117,0.5803290701006356,1.5286225237988873
24,2.0877898087286426,0.5744802999763208,1.526633428486783
25,2.1675159433159417,0.5703198519441781,1.5604123063684463
26,2.0917298954450985,0.5646266056524016,1.5326078951308493
27,2.122475191210439,0.5654182542461819,1.5231752914452616
28,2.164390918248733,0.5505080713103748,1.5532797225158308
29,2.1554374261043625,0.5605393759376609,1.540231162980685
Mean,2.1226209781345626,0.5652137603750172,1.5275404403853894
Std,0.03130665192273344,0.009730689768162926,0.018098021634989758
