,Accuracy,Precision,Recall,F1,Log-Loss-Value,AUC
0,0.9341580207501995,0.9507839721254355,0.9767337807606264,0.9635841977488413,0.1607351977029811,0.9496999265294667
1,0.9325618515562649,0.9442282749675746,0.9820143884892086,0.9627507163323782,0.16203249192201535,0.9542610592377161
2,0.9317637669592976,0.9504132231404959,0.9745762711864406,0.9623430962343096,0.1578392444699844,0.9502034168626498
3,0.9365522745411013,0.9490720759602935,0.9816964285714286,0.9651086240947993,0.16233398083174516,0.9468313641245971
4,0.9289704708699122,0.9460635058721183,0.9757738896366084,0.9606890459363958,0.16718998438916252,0.9478915121154846
5,0.9357541899441341,0.9524432809773123,0.9767337807606264,0.9644356085707975,0.15123637570039955,0.9580334662407027
6,0.9309656823623305,0.9508556384379113,0.97262118491921,0.9616152651431107,0.1577637766394791,0.9543425403303928
7,0.9333599361532322,0.9546055531070956,0.9713004484304932,0.9628806401422538,0.1592189765821761,0.9523656333268342
8,0.9345570630486831,0.9476643598615917,0.9807520143240823,0.9639243290805103,0.16228474257918027,0.9490741350255413
9,0.9317637669592976,0.9518125552608311,0.9720090293453725,0.9618047799865982,0.1547155179844202,0.9580057868484948
10,0.9377494014365523,0.9490940465918896,0.9830205540661304,0.9657594381035997,0.15549116075778452,0.9543152201459191
11,0.9381484437350359,0.9607583774250441,0.9706013363028954,0.9656547750941724,0.1503784235661529,0.9578066200752631
12,0.9361532322426177,0.9526704298740772,0.97728285077951,0.9648197009674582,0.15337704598007135,0.9536355801312408
13,0.9393455706304868,0.9628482972136223,0.9697104677060133,0.9662671992898357,0.14680561149422164,0.9581872018704827
14,0.9337589784517158,0.9530907496711969,0.9735781459919391,0.9632255206025698,0.1612362135501191,0.9523235385304352
15,0.9385474860335196,0.9507133592736705,0.9821348816435909,0.9661687170474517,0.15314363551496266,0.9546948627748142
16,0.936951316839585,0.9541684853775644,0.9763287181777579,0.965121412803532,0.16050465792629226,0.948406943308359
17,0.9361532322426177,0.9504563233376793,0.9793999104343932,0.964711071901191,0.15678653440768836,0.9527976128961351
18,0.9333599361532322,0.951113051069402,0.9753804834377797,0.9630939226519337,0.15550409361965556,0.9529299857812418
19,0.9377494014365523,0.9538327526132404,0.9776785714285714,0.9656084656084656,0.1531280334441883,0.9555350429645542
20,0.9297685554668795,0.9486733362331449,0.9740955783832068,0.9612163948876157,0.1613234016918147,0.9517942901877342
21,0.9361532322426177,0.9623059866962306,0.9665924276169265,0.9644444444444444,0.14609278036202175,0.9589551920402085
22,0.9305666400638468,0.9474605954465849,0.975653742110009,0.9613505108840515,0.16246342729675994,0.9529167919046188
23,0.9357541899441341,0.9503267973856209,0.9789048473967684,0.9644041565332744,0.158153543365884,0.9536523384523979
24,0.9321628092577813,0.9452113891285591,0.9807520143240823,0.9626537785588752,0.15891594510895207,0.9544588314287219
25,0.9329608938547486,0.9481932956029604,0.9779973057925461,0.9628647214854111,0.16371477504355192,0.9488792644202062
26,0.9361532322426177,0.9455087271179226,0.9857967154904572,0.9652325076053889,0.15280279200996053,0.952541100228242
27,0.9373503591380686,0.9518019973947026,0.9794459338695264,0.9654261175952433,0.15765412028996245,0.9520185600149387
28,0.931364724660814,0.9449262792714658,0.9797661870503597,0.9620309050772627,0.17227911007440372,0.9459203913464973
29,0.9293695131683959,0.9638069705093834,0.9573901464713716,0.9605878423513694,0.1599554649802774,0.9499621935793996
Mean,0.9343309390795423,0.9514967895648208,0.9761907344965979,0.9636592635587713,0.15783536864287562,0.9527480134241096
Std,0.0029026651191392653,0.005092435975720705,0.005526678210063017,0.001678943847975095,0.005557531187061502,0.0034184866905819463
