,Accuracy,Precision,Recall,F1,Log-Loss-Value,AUC
0,0.9337589784517158,0.9515495416848537,0.9753914988814317,0.9633230225364561,0.1610199873153564,0.9487175677125899
1,0.9321628092577813,0.9392643284858854,0.987410071942446,0.9627356422621657,0.16752937918460878,0.950140951068932
2,0.9321628092577813,0.9496527777777778,0.975914362176628,0.9626044874615046,0.1591732353015304,0.9494870651204282
3,0.9349561053471668,0.9462827675118178,0.9830357142857142,0.9643091745128093,0.1692372528243353,0.9424912728249195
4,0.9257781324820431,0.9498018494055482,0.9676985195154778,0.9586666666666667,0.16877563126708597,0.946761834887348
5,0.9385474860335196,0.9525880817746847,0.9798657718120806,0.9660344067048964,0.15110926639899344,0.9580029223111024
6,0.9253790901835595,0.9607223476297968,0.9551166965888689,0.9579113211793833,0.16540361870298412,0.953004921018302
7,0.9333599361532322,0.9546055531070956,0.9713004484304932,0.9628806401422538,0.16032227751763606,0.9510544615584584
8,0.9329608938547486,0.9526730937773883,0.973142345568487,0.9627989371124889,0.1646285328349008,0.9478267023013323
9,0.9325618515562649,0.9428571428571428,0.983295711060948,0.9626519337016575,0.15790642580219455,0.9576303398415986
10,0.9365522745411013,0.9490280777537797,0.9816800714924039,0.9650779705688557,0.15473984869778687,0.9541801715284169
11,0.9365522745411013,0.9594713656387666,0.9701559020044543,0.9647840531561461,0.15299541989136403,0.9566768212033552
12,0.9361532322426177,0.9507133592736705,0.9795100222717149,0.9648968845985081,0.15314898262428484,0.9526952188345323
13,0.9385474860335196,0.9615894039735099,0.9701559020044543,0.9658536585365853,0.14675870125427448,0.9579533915299218
14,0.931364724660814,0.9533655961284646,0.9704433497536946,0.9618286728806036,0.16022047565023184,0.951909338608846
15,0.9401436552274541,0.9583150504607284,0.9754354622599375,0.9667994687915007,0.1537421890137966,0.9537631332874996
16,0.9377494014365523,0.9582050153981522,0.9727556945064761,0.9654255319148937,0.16061085878880815,0.9481761018913941
17,0.9361532322426177,0.9520279110335804,0.9776085982982534,0.9646486964206805,0.15594724982928845,0.9530092239451846
18,0.9317637669592976,0.9542051959489212,0.9700089525514771,0.9620421753607103,0.15767467009371652,0.9522931039022593
19,0.8938547486033519,0.8938547486033519,1.0,0.943952802359882,0.33839605408610113,0.5012478182062299
20,0.9301675977653632,0.951048951048951,0.9718624385886556,0.9613430527943451,0.1589659375248549,0.951951529993493
21,0.9373503591380686,0.9599118942731277,0.9706013363028954,0.9652270210409746,0.14683394585095272,0.9581564822636937
22,0.9309656823623305,0.9486616937253182,0.9747520288548241,0.9615299088281076,0.163897730928835,0.9519415013525698
23,0.9361532322426177,0.9507410636442895,0.9789048473967684,0.9646174259177355,0.15577787982475189,0.9547227568035338
24,0.9329608938547486,0.9495213228894691,0.9767233661593554,0.9629302736098853,0.159413198482833,0.9540918426457423
25,0.9329608938547486,0.9493670886075949,0.9766502020655591,0.9628154050464808,0.16248041000637795,0.9493733633977273
26,0.9353551476456504,0.9466040153780436,0.9835774522858411,0.9647366129734436,0.15344478846380136,0.9518691810129314
27,0.9361532322426177,0.952920662598082,0.9767649687220733,0.9646954986760812,0.1546147940254637,0.9522144638736612
28,0.9325618515562649,0.9473225946887244,0.9784172661870504,0.9626188896261889,0.1701410430230449,0.9453208709628043
29,0.9305666400638468,0.9573251209854817,0.9658233466489126,0.96155545735749,0.15604822600056367,0.9503095565157744
Mean,0.9325219473264166,0.9501399205354666,0.9758000782872458,0.962709856424646,0.1646986003736919,0.9368991303468193
Std,0.007935057529204063,0.01163707317945467,0.007694214940613416,0.00400659298009354,0.032803723899049606,0.08098300656557007
