,RMSE,R-squared,MAE
0,2.1773799376715415,0.5460981602565889,1.575990316112424
1,2.1733855391335912,0.5483200798849228,1.566298969846609
2,2.124051027054081,0.5409891168638683,1.5516181375273472
3,2.199078134301795,0.5516130818828251,1.5670242249963278
4,2.188811814505221,0.5543459344401422,1.5802823224261773
5,2.1437230503593425,0.5542143103847825,1.5461641993415658
6,2.216665915463865,0.5206261557170719,1.5813048683160416
7,2.1658124363671147,0.5352210478521264,1.5411979998004788
8,2.1668108445771,0.5434275612892798,1.559139315642458
9,2.152857736743224,0.5473152684944226,1.5582691384427374
10,2.174117333980254,0.5428220989631736,1.5664405426975259
11,2.1912271018882197,0.5283492829817298,1.5806421831655597
12,2.25154852715895,0.5175271331002911,1.6146747805267359
13,2.239633928386594,0.5243555734482144,1.6046737829209896
14,2.136798410502707,0.5454543587639176,1.5428346967278532
15,2.1811060349273013,0.5515664966928939,1.570312235118421
16,2.157948027771449,0.5505419617448783,1.5492133234813545
17,2.193154729409023,0.5387104779174658,1.5662566091380687
18,2.1372666870186574,0.5512490525227981,1.5554527392887256
19,2.15056721643048,0.5506503051508742,1.5435472196289164
20,2.138418913316346,0.5487610748382767,1.5514951616121309
21,2.188899538107595,0.5223289596831917,1.578956044721047
22,2.1963671770105977,0.5524694176139389,1.5947351356743815
23,2.1738738222070975,0.5508876740608888,1.5793907122905029
24,2.136393691256437,0.5544374321310968,1.5685604549082204
25,2.2264082763484434,0.5466534623480885,1.6019962081828005
26,2.1697234004379986,0.5315541190117872,1.5849201316136476
27,2.164725371872721,0.5479444041249382,1.56276187150838
28,2.2257913802586944,0.5246435357047015,1.601740232199601
29,2.2142202328697658,0.5362426999814491,1.5787983838786912
Mean,2.1785588745778734,0.5419773412616874,1.570823064724524
Std,0.0322302252498213,0.011114823161694865,0.019313805942626435
