,RMSE,R-squared,MAE
0,2.4950455394349356,0.4039942323908099,1.8113423231550259
1,2.4953432502120148,0.4045876674100407,1.814176464832694
2,2.475043787599665,0.3767549116247483,1.8130047368953033
3,2.5287598679117296,0.4070927051092531,1.8209824099526817
4,2.4947060484352197,0.42107835918937975,1.8236704420627377
5,2.466959364789786,0.4096456613561432,1.7937033456391427
6,2.525873334689805,0.3775607313889908,1.828556606206125
7,2.469155758427808,0.3959098703113373,1.7826726989747776
8,2.4992112596212546,0.3926016216297856,1.824816698550547
9,2.4461945859942995,0.4155502413849844,1.7827536483458961
10,2.4910164283157954,0.39983252543882863,1.8193066490882193
11,2.499962570916503,0.386078659026325,1.827960766018293
12,2.5425551859887046,0.3847508144858519,1.8442833696450613
13,2.5626429925528815,0.3772631695962756,1.8588814172964359
14,2.4447966749801484,0.40497407778188055,1.7785958317191892
15,2.5432853847296037,0.390274042504143,1.8545444308661803
16,2.488477362386043,0.40231194169589835,1.8088797034547244
17,2.517612999087997,0.3921268103785771,1.813489335568589
18,2.466406504893561,0.40239082071350785,1.83032306202168
19,2.4735279236085668,0.4055544998002345,1.7890182367932677
20,2.4248953961918605,0.41976088740679474,1.7628992756314286
21,2.498285910682162,0.37775483542896415,1.8208307639982064
22,2.5561184589507446,0.3938574356877903,1.8650700837867429
23,2.5141853914626853,0.3992678071646585,1.8527698046172987
24,2.4646451270871133,0.4069996951259285,1.8123108754581292
25,2.6054598085041336,0.37914605635444787,1.8775722513220379
26,2.4781251841636203,0.3889212784159497,1.8207972527452334
27,2.499860487201183,0.3971381815851647,1.8204905154621078
28,2.5451213429636272,0.37846229826748246,1.847027898356996
29,2.5488676505001737,0.38546913562414076,1.850620825170751
Mean,2.502071386076121,0.39590369914261064,1.821711724121183
Std,0.03927726625404742,0.012725811835020865,0.026687923517192746
