,Accuracy,Precision,Recall,F1,Log-Loss-Value,AUC
0,0.9381484437350359,0.9521739130434783,0.9798657718120806,0.9658213891951488,0.14949689530121094,0.9567960243360824
1,0.936951316839585,0.9526730937773883,0.9775179856115108,0.9649356413670661,0.1439613669392069,0.96361421501097
2,0.9353551476456504,0.9509973980919341,0.9781445138269402,0.9643799472295514,0.1486999850766327,0.9571675722433974
3,0.9377494014365523,0.951473136915078,0.9803571428571428,0.9656992084432717,0.1545533205313205,0.9526651450053706
4,0.9297685554668795,0.9464984775989561,0.9762225213100045,0.9611307420494699,0.15998267180723127,0.9518652226233453
5,0.9401436552274541,0.9526704298740772,0.9816554809843401,0.9669457910973998,0.14288962787498694,0.9628602326291718
6,0.9337589784517158,0.9506118881118881,0.9762118491921006,0.9632418069087688,0.14948061463432377,0.9584070625008073
7,0.9365522745411013,0.9515918011338858,0.97847533632287,0.9648463409241653,0.15020195903079014,0.9569896666016766
8,0.9353551476456504,0.9496527777777778,0.9794091316025068,0.9643014543851918,0.1541967245534792,0.9540836141976934
9,0.9325618515562649,0.951058201058201,0.9738148984198646,0.9623020298906982,0.14713738793133896,0.9626321627764461
10,0.9377494014365523,0.953397212543554,0.9781054512957998,0.9655932951036612,0.1448104856607911,0.9607558721139611
11,0.9413407821229051,0.9549002601908065,0.9808463251670378,0.967699406723797,0.14299159278833426,0.9606942631134321
12,0.9349561053471668,0.9494818652849741,0.9795100222717149,0.9642622231966674,0.14733614594711034,0.956664874689604
13,0.9393455706304868,0.9544072948328267,0.9790645879732739,0.9665787159190853,0.13906093724616628,0.9622524298355647
14,0.9365522745411013,0.9520488230165649,0.9780564263322884,0.9648774022531478,0.14797822319732504,0.9597496099959153
15,0.9409417398244214,0.954367666232073,0.9807949977668602,0.9674008810572687,0.14355381546223253,0.9604960079489739
16,0.9389465283320032,0.9526909722222222,0.9803483698079499,0.9663218137794409,0.15113642846738667,0.9545760965385497
17,0.9389465283320032,0.9541484716157205,0.9785042543663234,0.9661728940968384,0.14853963213212512,0.9576072531737557
18,0.9377494014365523,0.9513466550825369,0.9803043867502238,0.9656084656084656,0.14643981317211954,0.9590552425088208
19,0.9381484437350359,0.9530638852672751,0.9790178571428572,0.9658665492182339,0.14242014135557984,0.9619159505907626
20,0.9329608938547486,0.9488513220632857,0.9776686020544886,0.9630444346678398,0.15245811395045583,0.9559962730820508
21,0.9453312051077414,0.9582608695652174,0.9817371937639198,0.9698569856985698,0.13767841719240584,0.9622609630596728
22,0.9321628092577813,0.9483362521891419,0.9765554553651938,0.962239004886717,0.15759273149507916,0.9555326996292957
23,0.9377494014365523,0.9535901926444834,0.9775583482944344,0.9654255319148937,0.14385043753497265,0.9629131524224066
24,0.9329608938547486,0.9506980802792321,0.9753804834377797,0.9628811312417145,0.14815967747123016,0.9599949312760019
25,0.936951316839585,0.9499782514136581,0.9806915132465199,0.965090587715422,0.1552381903837918,0.9543626364606419
26,0.9405426975259378,0.953839516824849,0.9813581890812251,0.9674031940494421,0.14133283386190176,0.9596497599160715
27,0.9381484437350359,0.9534175010883762,0.9785522788203753,0.9658213891951488,0.14803427266370697,0.9563509530097503
28,0.9353551476456504,0.949433304272014,0.97931654676259,0.9641434262948207,0.1570205234221327,0.9538815755905914
29,0.9341580207501995,0.9507772020725389,0.9773635153129161,0.963887065003283,0.14739855391998186,0.955416493423788
Mean,0.9369114126097368,0.9518812238694673,0.978746981231771,0.9651259583038398,0.14812105070017834,0.9582402652101524
Std,0.0031862638400967243,0.00230674574141671,0.001894193422064905,0.001821656348424616,0.005387496001273188,0.003319891981866729
