,Accuracy,Precision,Recall,F1,Log-Loss-Value,AUC
0,0.9365522745411013,0.9477998274374461,0.9829977628635347,0.9650779705688557,0.1591983473862219,0.9514318498889687
1,0.9357541899441341,0.9475054229934924,0.9820143884892086,0.964451313755796,0.15577619544662258,0.9565921730700546
2,0.9349561053471668,0.9478672985781991,0.9812667261373773,0.9642778873548105,0.1565490108926158,0.9516614629794826
3,0.9377494014365523,0.9483648881239243,0.9839285714285714,0.9658194566170026,0.16076189511118344,0.9486456095596133
4,0.9297685554668795,0.9418854928971158,0.9816061013907582,0.961335676625659,0.16584883772720424,0.9492317385044207
5,0.9373503591380686,0.9486183074265976,0.9829977628635347,0.965502087453307,0.14988360472685053,0.959437661490709
6,0.9317637669592976,0.9458170784568704,0.9793536804308797,0.9622932745314222,0.15661144208309438,0.9561047750668406
7,0.9349561053471668,0.948762483716891,0.9798206278026906,0.9640414736377675,0.15782272659562566,0.9536491843764215
8,0.9341580207501995,0.9457130547177941,0.9825425246195165,0.9637760702524698,0.16068240418501634,0.951259610827321
9,0.9321628092577813,0.9470922606034106,0.9778781038374718,0.962239004886717,0.15468694119571555,0.9590064617222468
10,0.9361532322426177,0.9478448275862069,0.982573726541555,0.9648968845985081,0.1535014451168484,0.9559774852280154
11,0.9381484437350359,0.9504310344827587,0.9821826280623608,0.9660460021905805,0.1487048436449142,0.9589312990127059
12,0.9345570630486831,0.9467582653499356,0.9821826280623608,0.9641451683428072,0.15262329166752733,0.9544462364215073
13,0.9405426975259378,0.9517241379310345,0.9835189309576837,0.9673603504928806,0.14565109395525516,0.9588886328921656
14,0.9341580207501995,0.9480069324090121,0.9798477384684281,0.9636643911032812,0.156552131331122,0.9546594620486246
15,0.9381484437350359,0.9487510766580534,0.9839213934792318,0.9660162245121684,0.1522385154325568,0.9557855048317785
16,0.9385474860335196,0.9503239740820735,0.9825815096025011,0.966183574879227,0.15783024669244505,0.9506116461167623
17,0.9353551476456504,0.9480744266551276,0.9811912225705329,0.9643485915492958,0.15530725774105208,0.9548546691403834
18,0.9349561053471668,0.9473002159827214,0.9816472694717995,0.9641679489997802,0.15558113090132072,0.9542712228132078
19,0.9393455706304868,0.9503882657463331,0.9834821428571429,0.9666520403685828,0.14988009182315584,0.9577302631578948
20,0.9301675977653632,0.9432989690721649,0.9807949977668602,0.9616816290781695,0.1578982903694417,0.9537280052457876
21,0.9409417398244214,0.9529157667386609,0.9826280623608018,0.9675438596491228,0.14459591744593964,0.9601737364428402
22,0.9309656823623305,0.9459223724378544,0.9779080252479712,0.9616493017069386,0.16165647101472358,0.9539359157399058
23,0.9381484437350359,0.9496746203904556,0.9824955116696589,0.9658063092874476,0.15415782812117898,0.9571025405887139
24,0.9317637669592976,0.9463435742102986,0.9789615040286481,0.9623762376237623,0.15465492980400516,0.9569355942914319
25,0.9345570630486831,0.9451877427708243,0.9833857207004939,0.9639084507042254,0.16197067480862443,0.9508154242572019
26,0.9381484437350359,0.9494430162810625,0.9835774522858411,0.9662088511009375,0.1492792870664309,0.9547270306258322
27,0.9397446129289705,0.9515361315447858,0.982573726541555,0.9668058914047043,0.1534732341604138,0.954068464647273
28,0.9337589784517158,0.9454545454545454,0.9820143884892086,0.9633877370974857,0.1661395077582645,0.949144407877953
29,0.9317637669592976,0.9460154241645244,0.9800266311584553,0.9627207325049052,0.15323325112757236,0.9522147895910416
Mean,0.9355014631550943,0.9478273811633391,0.9817300486728876,0.9644794797626205,0.15542502817776477,0.9545340952819036
Std,0.0030520577152588543,0.0023893033731499924,0.0016762620753882343,0.0017305127118641404,0.005123446545378102,0.0031851278036189334
