,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.6608154020385051,0.54,0.6597404003634642,0.537386415990938
1,3.0,0.6691959229898075,0.5420338983050847,0.6688878914814653,0.5400100714694224
2,5.0,0.6795016987542468,0.5430508474576271,0.6791882179148195,0.5409120839533128
3,7.0,0.6925254813137032,0.5484745762711866,0.6923414606767032,0.5465407911693542
4,11.0,0.713590033975085,0.5450847457627118,0.7133347633181742,0.542182945315302
5,13.0,0.7237825594563987,0.5430508474576271,0.7235516119399076,0.5398851273100206
6,15.0,0.7339750849377124,0.5454237288135594,0.7336721401376286,0.5422127666501871
7,17.0,0.7423556058890146,0.5430508474576272,0.7421026866181387,0.5403782803054884
8,20.0,0.7568516421291054,0.5420338983050847,0.7568579278643055,0.5393612079999698
9,25.0,0.7784824462061155,0.5379661016949153,0.7787399705848284,0.535472228060349
10,30.0,0.7950169875424689,0.536949152542373,0.795354991048841,0.5343045507771385
11,40.0,0.8241223103057758,0.53,0.8246613812365755,0.527364909619787
12,50.0,0.8507361268403171,0.5259322033898306,0.8513369167977961,0.523501742275088
