,num_of_estimators(trees),accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,2.0,0.6385050962627405,0.5513559322033899,0.6360362832248851,0.5479603520278962
1,3.0,0.6467723669309173,0.551864406779661,0.6448171158615688,0.5484373727994345
2,5.0,0.6579841449603624,0.5540677966101695,0.6559292363771251,0.5501512574189918
3,7.0,0.6676104190260475,0.5547457627118645,0.665711602203072,0.5509177590277898
4,11.0,0.6825594563986411,0.5516949152542374,0.6808925796131302,0.5477051261665492
5,13.0,0.6906002265005663,0.5508474576271187,0.6892070711611281,0.5470365008496315
6,15.0,0.6979614949037372,0.5503389830508475,0.6965374392387693,0.5461934250151935
7,17.0,0.7064552661381653,0.5467796610169492,0.7052486311181596,0.5427352577205369
8,20.0,0.7215175537938845,0.5471186440677965,0.7206693373124708,0.5433915017175084
9,25.0,0.737599093997735,0.5432203389830508,0.7369646464029356,0.5395513183766567
10,30.0,0.7507361268403171,0.540677966101695,0.7502241582511248,0.5373429780110135
11,40.0,0.7810872027180068,0.5333898305084745,0.7809316331781833,0.5299863860477677
12,50.0,0.8002265005662513,0.5335593220338983,0.8001870750085696,0.5305891035628107
