,model_name,accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,nn_Adam_l2_0_dropout_0,0.46149490773677826,0.44915254414081573,0.16267191656351232,0.1444515510073553
1,nn_Adam_l2_0_dropout_0.6000000000000001,0.4490373730659485,0.4415254145860672,0.07809464849111476,0.08475653557396826
2,nn_Adam_l2_3.1622776601683795e-05_dropout_0,0.45243488252162933,0.4610169529914856,0.16493265668431453,0.14029816544425008
3,nn_Adam_l2_1e-05_dropout_0.7000000000000001,0.442808598279953,0.4381355941295624,0.16517592998285038,0.1534433128715922
4,nn_SGD_l2_0_dropout_0,0.44563986361026764,0.43644067645072937,0.08313133618371879,0.08146987608602763
5,nn_SGD_l2_0_dropout_0.2,0.44733861088752747,0.4567796587944031,0.15323367910731503,0.13728688223381713
6,nn_SGD_l2_3.1622776601683795e-05_dropout_0,0.45413362979888916,0.4449152499437332,0.10571175577028107,0.10868359364528404
7,nn_SGD_l2_1e-05_dropout_0.7000000000000001,0.43148358166217804,0.44830508530139923,0.091796934216745,0.08465414567109482
