,model_name,accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,decision_tree_pre_pruning,0.7078142695356738,0.4964406779661017,0.7052181429169478,0.4913011850381987
1,decision_tree_post_pruning,0.5910532276330691,0.5627118644067797,0.5853085713818493,0.5551494521434697
2,random_forest_150_trees_0,0.969422423556059,0.5167796610169492,0.9694678601800619,0.5132883986464805
3,gradient_boost_90_trees_0.02,0.6133635334088335,0.5596610169491526,0.6075171944829395,0.5530098764516943
4,gradient_boost_30_trees_0.05,0.6038505096262741,0.5610169491525424,0.597587815636373,0.5539862907092497
5,gradient_boost_20_trees_0.1,0.618573046432616,0.5601694915254237,0.6128570892078273,0.5537515779228926
6,gradient_boost_5_trees_0.3,0.6040770101925255,0.5569491525423729,0.5980449713492564,0.5495554513229844
7,xg_boost_7_trees_0.1,0.7171007927519818,0.5384745762711864,0.7175402900236882,0.5364515001033905
8,xg_boost_13_trees_1,0.7542468856172141,0.5432203389830509,0.7547073096762407,0.5412963826728806
9,xg_boost_15_trees_3,0.7469988674971687,0.5442372881355931,0.747174471165513,0.5424928373768598
10,xg_boost_7_trees_5,0.6925254813137032,0.5484745762711866,0.6923414606767032,0.5465407911693542
11,xg_boost_11_trees_9,0.6997734994337486,0.5488135593220339,0.6988765511308374,0.5453398072538412
12,xg_boost_7_trees_15,0.6676104190260475,0.5547457627118645,0.665711602203072,0.5509177590277898
