,l2,dropout,method,accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,1e-05,0.1,SGD,0.4360135793685913,0.41271185874938965,0.0660227803568285,0.06583192087147696
1,1e-05,0.4,SGD,0.4212910532951355,0.4194915145635605,0.13015380345196956,0.11290396441777742
2,1e-05,0.7000000000000001,SGD,0.43148358166217804,0.44830508530139923,0.091796934216745,0.08465414567109482
3,0.0001,0.1,SGD,0.4212910532951355,0.41101694107055664,0.027331404631406903,0.02499240629366381
4,0.0001,0.4,SGD,0.43204982578754425,0.43305085599422455,0.07257311559309432,0.0718232044198895
5,0.0001,0.7000000000000001,SGD,0.4280860722064972,0.423728808760643,0.03806441812539721,0.03118689495063968
6,0.001,0.1,SGD,0.42582106590270996,0.4008474498987198,0.020979496271670325,0.017995782238537844
7,0.001,0.4,SGD,0.43204982578754425,0.41016949713230133,0.09878660410936742,0.07854309412188966
8,0.001,0.7000000000000001,SGD,0.4360135942697525,0.4000000059604645,0.11114459048595196,0.10369119179677795
