,l2,dropout,method,accuracy_train_mean,accuracy_test_mean,f1_train_mean,f1_test_mean
0,0,0.0,Adam,0.45356738567352295,0.4389830529689789,0.18921078469095315,0.1789399672055724
1,0,0.2,Adam,0.4229898005723953,0.41440679132938385,0.0700469179744378,0.06434141102862212
2,0,0.4,Adam,0.427519828081131,0.425423726439476,0.07048103110091418,0.06398187054435579
3,0,0.6000000000000001,Adam,0.4490373730659485,0.4415254145860672,0.07809464849111476,0.08475653557396826
4,0,0.8,Adam,0.4354473352432251,0.43050847947597504,0.15461124596229772,0.14347641732473745
